target_version,model,fold,mse,rmse,mae,r2,best_params_json
Sem transformação,Dummy Regressor,0,2.1154256655501564e+16,145445029.66929314,97837583.08800732,-0.0028683453284319427,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,1,3.517302792853457e+16,187544735.80597928,103949672.37108508,-5.0730029463874615e-06,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,2,3.5118710892720636e+16,187399868.9773305,102549811.8964904,-0.00010166700781977234,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,3,4.531784746807102e+16,212879889.76902217,107128795.81781416,-0.00020926723415981563,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,4,3.234573021500675e+16,179849187.4182554,106194580.94147514,-7.817449297942147e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,5,4.127085728403442e+16,203152300.71065998,106728743.0097512,-9.250506446778495e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,6,2.7306572168003904e+16,165247003.5068833,101633368.81419426,-0.0002191371999744618,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,7,3.737165876064847e+16,193317507.64131135,106077587.15817039,-2.982507953919189e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,8,3.330731790320334e+16,182502925.73874903,107341959.54686294,-0.00031315804058817953,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,9,3.70849008151511e+16,192574403.32284844,107220830.6401728,-7.204566014551439e-05,"{""strategy"": ""mean""}"
Sem transformação,Linear Regression,0,1.040707592335136e+16,102015076.94135882,59455198.51101021,0.5066275700004603,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,1,1.869565575453999e+16,136732058.25460243,63943817.51670152,0.46846343068207796,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,2,1.5256936349887956e+16,123518971.619294,64636506.3085749,0.5655168686696326,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,3,2.188767124049028e+16,147944824.98719,66537147.53279168,0.5169176640982936,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,4,1.128975966972832e+16,106253280.74807064,59497983.0717532,0.6509387122839452,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,5,1.7578750333323844e+16,132584879.73115125,65032172.69886393,0.5740244420956664,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,6,1.1985378509168602e+16,109477753.48977801,65660632.54719589,0.5609846275211903,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,7,1.630907427658515e+16,127706986.01323715,66218824.284246236,0.5635847795657316,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,8,1.2864159253272166e+16,113420277.08162314,62910737.772403955,0.613652837326174,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,9,1.4924743139445064e+16,122166865.96391456,62371362.69448197,0.5975230329773706,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,KNN Regressor,0,1.1638527028830436e+16,107882005.12055027,58659226.7495183,0.4482476726296166,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
Sem transformação,KNN Regressor,1,2.138778513988306e+16,146245632.89166299,68708466.00808936,0.3919234453275803,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
Sem transformação,KNN Regressor,2,1.807135747462858e+16,134429749.21730897,70551637.74766034,0.48536850368227913,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""uniform""}"
Sem transformação,KNN Regressor,3,2.2406430743439668e+16,149687777.53524056,71407741.44928434,0.5054681339174674,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""uniform""}"
Sem transformação,KNN Regressor,4,1.393980719815191e+16,118066960.6543334,64813470.8906551,0.5690034869256406,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
